country,url,wiki_country
Rwanda,https://en.wikipedia.org/wiki/Rwanda,Rwanda
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,Saint Kitts and Nevis
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia,Saint Lucia
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,Saint Vincent and the Grenadines
Samoa,https://en.wikipedia.org/wiki/Samoa,Samoa
San Marino,https://en.wikipedia.org/wiki/San_Marino,San Marino
Sao Tome and Principe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,Sao Tome and Principe
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia,Saudi Arabia
Senegal,https://en.wikipedia.org/wiki/Senegal,Senegal
Serbia,https://en.wikipedia.org/wiki/Serbia,Serbia
Seychelles,https://en.wikipedia.org/wiki/Seychelles,Seychelles
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone,Sierra Leone
Singapore,https://en.wikipedia.org/wiki/Singapore,Singapore
Slovakia,https://en.wikipedia.org/wiki/Slovakia,Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia,Slovenia
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands,Solomon Islands
Somalia,https://en.wikipedia.org/wiki/Somalia,Somalia
South Africa,https://en.wikipedia.org/wiki/South_Africa,South Africa
South Sudan,https://en.wikipedia.org/wiki/South_Sudan,South Sudan
Spain,https://en.wikipedia.org/wiki/Spain,Spain
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka,Sri Lanka
Sudan,https://en.wikipedia.org/wiki/Sudan,Sudan
Suriname,https://en.wikipedia.org/wiki/Suriname,Suriname
Sweden,https://en.wikipedia.org/wiki/Sweden,Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland,Switzerland
Syria,https://en.wikipedia.org/wiki/Syria,Syria
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan,Tajikistan
Tanzania,https://en.wikipedia.org/wiki/Tanzania,Tanzania
Thailand,https://en.wikipedia.org/wiki/Thailand,Thailand
Timor-Leste,https://en.wikipedia.org/wiki/East_Timor,Timor-Leste
Togo,https://en.wikipedia.org/wiki/Togo,Togo
Tonga,https://en.wikipedia.org/wiki/Tonga,Tonga
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago,Trinidad and Tobago
Tunisia,https://en.wikipedia.org/wiki/Tunisia,Tunisia
Turkey,https://en.wikipedia.org/wiki/Turkey,Turkey
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan,Turkmenistan
Tuvalu,https://en.wikipedia.org/wiki/Tuvalu,Tuvalu
Uganda,https://en.wikipedia.org/wiki/Uganda,Uganda
Ukraine,https://en.wikipedia.org/wiki/Ukraine,Ukraine
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates,United Arab Emirates
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,United Kingdom
United States,https://en.wikipedia.org/wiki/United_States,United States
Uruguay,https://en.wikipedia.org/wiki/Uruguay,Uruguay
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan,Uzbekistan
Vanuatu,https://en.wikipedia.org/wiki/Vanuatu,Vanuatu
Vatican City,https://en.wikipedia.org/wiki/Vatican_City,Vatican City
Venezuela,https://en.wikipedia.org/wiki/Venezuela,Venezuela
Vietnam,https://en.wikipedia.org/wiki/Vietnam,Vietnam
Yemen,https://en.wikipedia.org/wiki/Yemen,Yemen
Zambia,https://en.wikipedia.org/wiki/Zambia,Zambia
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,Zimbabwe
